<<<<<<< HEAD
0.2339930556,		57
0.4202893519,		13
0.6078935185,		22
0.8022106481,		11
"11-Nov-1918 11:15:35",	35
"11:59 PM",		0
"23:59:59",		59
3600,			0
-3601,			59
12500,			20
65535,			15
"Half past 1 O'Clock",	"#VALUE!"
=======
0.2339930556,		57
0.4202893519,		13
0.6078935185,		22
0.8022106481,		11
"11-Nov-1918 11:15:35",	35
"11:59 PM",		0
"23:59:59",		59
3600,			0
-3601,			59
12500,			20
65535,			15
"Half past 1 O'Clock",	"#VALUE!"
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
