<<<<<<< HEAD
"357",			"545"
"1357",			"2515"
"246",			"366"
"12345",		"30071"
"123456789",		"726746425"
"123.45",		"173"
"58,		3,	"072"
"0",			"0"
"3579A",		"#VALUE!"	//	Invalid decimal
TRUE,			"#VALUE!"	//	Non string
"-100",			"7777777634"	//	2's Complement
"-107",			"7777777625"	//	2's Complement
=======
"357",			"545"
"1357",			"2515"
"246",			"366"
"12345",		"30071"
"123456789",		"726746425"
"123.45",		"173"
"58,		3,	"072"
"0",			"0"
"3579A",		"#VALUE!"	//	Invalid decimal
TRUE,			"#VALUE!"	//	Non string
"-100",			"7777777634"	//	2's Complement
"-107",			"7777777625"	//	2's Complement
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
